original ID,Individual recoded,Trial,Box,Box recoded,Family (old),Family NEW,Donor (D) / Receptor (R),Weight start (g),Weight  end or death (g),Description of symptoms,Day of first symptoms,Day of death,parasites,Donor (D) / Receptor (R),Donor fam,Family combinations,Original sire ID,Sire_rec,Original sire ID,Dam_rec,Sex,Genotype,Weight start (g),Weight category,Description of symptoms,Ascite,Belly up,Color change,Haemorragia,Depigmentation,Erratic swimming,Wound,Day start to end (resilience),Days onset symptoms (susceptibility),Days onset to death (tolerance) ,Removed (yes/no),"Resilience (0 dead/UC, 1 survive/C)","Resistance (0 dead/UC, 1 survive/C)","Tolerance (0 dead/UC, 1 survive/C)"
84,84,1,4,4,22,22,R,16.1,23.7,hemorrhage in the pectoral fin,2014-11-16,2014-11-25,YES,R,23,4,FB-Y-146,2,FB-X-356,10,Male,Yes,16.1,1,hemorrhage in the pectoral fin,,,,x,,,,54,45,9,no,0,0,0
85,85,1,4,4,22,22,R,38.1,43.5,wound in the caudal area,2014-11-07,2014-11-16,YES,R,23,4,FB-Y-146,2,FB-X-356,10,Male,Yes,38.1,4,wound in the caudal area,,,,,,,x,45,36,9,no,0,0,0
86,86,1,4,4,14,14,R,64.7,122.7,hemorrhage in the pectoral fin,2014-11-12,2015-01-14,Slaughtered,R,23,4,FB-Y-1,12,FB-X-168,18,Female,Yes,64.7,6,hemorrhage in the pectoral fin,,,,x,,,,104,41,63,no,1,0,1
87,87,1,4,4,14,19,R,22.6,23.5,wound in the fin labeled,2014-11-13,2014-11-13,YES,R,23,4,FB-Y-152,4,FB-X-350,7,Male,Yes,22.6,1,wound in the fin labeled,,,,,,,x,42,42,0,no,0,0,0
88,88,1,4,4,14,14,R,33.1,41.9,wound in the fin labeled,2014-11-07,2014-11-23,YES,R,23,4,FB-Y-1,12,FB-X-168,18,Male,Yes,33.1,3,wound in the fin labeled,,,,,,,x,52,36,16,no,0,0,0
89,89,1,4,4,14,14,R,20.6,26.4,NA,NA,2014-12-03,YES,R,23,4,FB-Y-1,12,FB-X-168,18,Male,Yes,20.6,1,NA,,,,,,,,62,NA,NA,no,0,no,no
90,90,1,4,4,14,14,R,35.6,42.2,hemorrhage in the pectoral fin,2014-11-01,2014-12-01,YES,R,23,4,FB-Y-1,12,FB-X-168,18,Female,Yes,35.6,4,hemorrhage in the pectoral fin,,,,x,,,,60,30,30,no,0,0,0
91,91,1,4,4,8,8,R,46.9,66.4,wound in the fin labeled,2014-11-07,2014-11-25,YES,R,23,4,FB-Y-162,7,FB-X-186,13,Male,Yes,46.9,5,wound in the fin labeled,,,,,,,x,54,36,18,no,0,0,0
92,92,1,4,4,8,8,R,41.6,46.1,exophthalmia,2014-11-27,2014-12-18,YES,R,23,4,FB-Y-162,7,FB-X-186,13,Male,Yes,41.6,5,exophthalmia,,,,,,x,,77,56,21,no,0,0,0
93,93,1,4,4,8,8,R,34.9,31.8,wound in the head,2014-11-20,2014-12-05,YES,R,23,4,FB-Y-162,7,FB-X-186,13,Male,Yes,34.9,4,wound in the head,,,,,,,x,64,49,15,no,0,0,0
94,94,1,4,4,8,8,R,43.2,49.6,NA,NA,2014-11-27,YES,R,23,4,FB-Y-162,7,FB-X-186,13,Male,Yes,43.2,5,NA,,,,,,,,56,NA,NA,no,0,no,no
95,95,1,4,4,8,8,R,41.2,47.3,wound in the head,2014-11-19,2014-11-23,YES,R,23,4,FB-Y-162,7,FB-X-186,13,Female,Yes,41.2,5,wound in the head,,,,,,,x,52,48,4,no,0,0,0
96,96,1,4,4,11,11,R,38.3,44,NA,NA,2014-11-18,YES,R,23,4,FB-Y-87,22,FB-X-208,15,Male,Yes,38.3,4,NA,,,,,,,,47,NA,NA,no,0,no,no
97,97,1,4,4,11,11,R,35.9,37,wound in the fin labeled,2014-11-07,2014-11-12,YES,R,23,4,FB-Y-87,22,FB-X-208,15,Male,Yes,35.9,4,wound in the fin labeled,,,,,,,x,41,36,5,no,0,0,0
98,98,1,4,4,11,11,R,34.9,67,wound in the head,2014-12-01,2015-01-14,Slaughtered,R,23,4,FB-Y-87,22,FB-X-208,15,Female,Yes,34.9,4,wound in the head,,,,,,,x,104,60,44,no,1,0,1
99,99,1,4,4,11,11,R,29.7,49.3,NA,NA,2015-01-14,Slaughtered,R,23,4,FB-Y-87,22,FB-X-208,15,Male,Yes,29.7,3,NA,,,,,,,,104,104,NA,no,1,1,no
100,100,1,4,4,11,11,R,22.3,25.4,exophthalmia,2014-11-13,2014-11-28,YES,R,23,4,FB-Y-87,22,FB-X-208,15,Female,Yes,22.3,1,exophthalmia,,,,,,x,,57,42,15,no,0,0,0
101,101,1,5,5,23,23,D,32,31.9,NA,NA,2014-10-08,YES,D,D,5,FB-Y-94,27,FB-X-180,25,NA,Yes,32,3,NA,,,,,,,,6,NA,NA,no,no,no,no
102,102,1,5,5,23,23,D,35.4,34.3,color change,2014-10-05,2014-10-08,YES,D,D,5,FB-Y-94,27,FB-X-180,25,NA,Yes,35.4,4,color change,,,x,,,,,6,3,3,no,0,0,0
103,103,1,5,5,23,23,D,34.2,33.9,color change,2014-10-05,2014-10-08,YES,D,D,5,FB-Y-94,27,FB-X-180,25,NA,Yes,34.2,4,color change,,,x,,,,,6,3,3,no,0,0,0
104,104,1,5,5,23,23,D,32,30.2,color change,2014-10-05,2014-10-07,YES,D,D,5,FB-Y-94,27,FB-X-180,25,NA,Yes,32,3,color change,,,x,,,,,5,3,2,no,0,0,0
105,105,1,5,5,23,23,D,26.1,23.4,NA,NA,2014-10-08,YES,D,D,5,FB-Y-94,27,FB-X-180,25,NA,Yes,26.1,2,NA,,,,,,,,6,NA,NA,no,no,no,no
106,106,1,5,5,32,32,R,26.9,49.3,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-87,22,FB-X-230,21,Male,Yes,26.9,2,NA,,,,,,,,104,104,NA,no,1,1,no
107,107,1,5,5,32,32,R,28.2,77.3,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-87,22,FB-X-230,21,Male,Yes,28.2,2,NA,,,,,,,,104,104,NA,no,1,1,no
108,108,1,5,5,32,32,R,28,58.1,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-87,22,FB-X-230,21,Male,Yes,28,2,NA,,,,,,,,104,104,NA,no,1,1,no
109,109,1,5,5,32,32,R,26.9,64,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-87,22,FB-X-230,21,Female,Yes,26.9,2,NA,,,,,,,,104,104,NA,no,1,1,no
110,110,1,5,5,32,32,R,21.8,28.4,exophthalmia,2014-11-26,2014-12-21,YES,R,23,5,FB-Y-87,22,FB-X-230,21,Male,Yes,21.8,1,exophthalmia,,,,,,x,,80,55,25,no,0,0,0
111,111,1,5,5,28,28,R,29.3,39.1,Ascite,2014-11-28,2014-12-01,YES,R,23,5,FB-Y-89,24,FB-X-334,5,Female,Yes,29.3,3,Ascite,x,,,,,,,60,57,3,no,0,0,0
112,112,1,5,5,28,28,R,25.9,27.4,wound in the head,2014-10-29,2014-11-04,YES,R,23,5,FB-Y-89,24,FB-X-334,5,Female,Yes,25.9,2,wound in the head,,,,,,,x,33,27,6,no,0,0,0
113,113,1,5,5,28,28,R,27.4,41.3,exophthalmia,2014-12-18,2015-01-01,YES,R,23,5,FB-Y-89,24,FB-X-334,5,Female,Yes,27.4,2,exophthalmia,,,,,,x,,91,77,14,no,0,0,0
114,114,1,5,5,28,28,R,22.6,28.8,color change,2014-11-27,2014-12-01,YES,R,23,5,FB-Y-89,24,FB-X-334,5,Female,Yes,22.6,1,color change,,,x,,,,,60,56,4,no,0,0,0
115,115,1,5,5,28,28,R,12.3,10.5,color change,2014-11-19,2014-11-27,YES,R,23,5,FB-Y-89,24,FB-X-334,5,Female,Yes,12.3,1,color change,,,x,,,,,56,48,8,no,0,0,0
116,116,1,5,5,18,18,R,43.8,73,exophthalmia,2014-12-02,2014-12-09,YES,R,23,5,FB-Y-5,13,FB-X-168,18,Male,Yes,43.8,5,exophthalmia,,,,,,x,,68,61,7,no,0,0,0
117,117,1,5,5,18,18,R,22.8,27.9,NA,NA,2015-01-01,YES,R,23,5,FB-Y-5,13,FB-X-168,18,NA,Yes,22.8,1,NA,,,,,,,,91,NA,NA,no,0,no,no
118,118,1,5,5,18,18,R,48.8,89.9,haemorrhage in lateral fin,2014-11-24,2015-01-14,Slaughtered,R,23,5,FB-Y-5,13,FB-X-168,18,Male,Yes,48.8,6,haemorrhage in lateral fin,,,,x,,,,104,53,51,no,1,0,1
119,119,1,5,5,18,18,R,45.1,98.5,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-5,13,FB-X-168,18,Male,Yes,45.1,5,NA,,,,,,,,104,104,NA,no,1,1,no
120,120,1,5,5,18,18,R,43.5,97.6,NA,NA,2015-01-14,Slaughtered,R,23,5,FB-Y-5,13,FB-X-168,18,Male,Yes,43.5,5,NA,,,,,,,,104,104,NA,no,1,1,no
